"provinces","election_units","candidates","n_ballots","percentage"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Nguyễn Phú Trọng","356780","86.47"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Nguyễn Doãn Anh","299827","72.67"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Bà Trần Thị Phương Hoa","274606","66.56"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Phạm Xuân Anh","151978","36.83"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Phan Thanh Chung","144577","35.04"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Trần Việt Khoa","328598","69.08"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Hoàng Văn Cường","310251","65.22"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Nguyễn Quang Tuấn","304590","64.03"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Hoàng Châu Sơn","240203","50.50"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Nguyễn Hồng Sơn","222315","46.74"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Ông Nguyễn Phi Thường","391445","72.78"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Bà Nguyễn Thị Bích Ngọc","389938","72.50"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Bà Đào Tú Hoa","293698","54.61"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Ông Nguyễn Hữu Thỉnh","277721","51.64"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Ông Tạ Văn Thảo","236420","43.96"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Nguyễn Hữu Chính","443055","74.71"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Lê Quân","392491","66.18"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Bà Dương Minh Ánh","358073","60.38"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Đàm Hữu Đắc","288769","48.69"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Nguyễn Hữu Ninh","275560","46.47"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Bà Nguyễn Thị Nguyệt Hường","427836","78.51"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Ông Đỗ Đức Hồng Hà","417935","76.69"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Ông Đào Thanh Hải","403473","74.04"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Bà Lê Phương Linh","190742","35"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Bà Nguyễn Thị Thanh","178324","32.72"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Bà Trần Thị Quốc Khánh","412570","71.41"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Bà Nguyễn Thị Lan","390714","67.62"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Ông Nguyễn Văn Chiến (Nguyễn Chiến)","324651","56.19"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Ông Lê Vĩnh Sơn","303336","52.50"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Ông Phan Xuân Tuy","274011","47.43"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Ông Nguyễn Quốc Bình","336913","67.78"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Ông Nguyễn Quốc Hưng","306104","61.58"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Ông Dương Quang Thành","294631","59.27"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Bà Bùi Thị An","266104","53.53"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Bà Lê Thị Oanh","262302","52.77"
"HÀ NỘI","Gồm thị xã Sơn Tây và các huyện: Ba Vì, Phúc Thọ, Thạch Thất","Ông Hoàng Trung Hải","520972","87.16"
"HÀ NỘI","Gồm thị xã Sơn Tây và các huyện: Ba Vì, Phúc Thọ, Thạch Thất","Ông Ngọ Duy Hiểu","432365","72.34"
"HÀ NỘI","Gồm thị xã Sơn Tây và các huyện: Ba Vì, Phúc Thọ, Thạch Thất","Ông Nguyễn Văn Được","376146","62.93"
"HÀ NỘI","Gồm thị xã Sơn Tây và các huyện: Ba Vì, Phúc Thọ, Thạch Thất","Ông Trần Danh Lợi","258754","43.29"
"HÀ NỘI","Gồm thị xã Sơn Tây và các huyện: Ba Vì, Phúc Thọ, Thạch Thất","Bà Bạch Tố Uyên","186042","31.13"
"HÀ NỘI","Gồm quận Long Biên và huyện Đông Anh","Bà Vũ Thị Lưu Mai","318741","75.10"
"HÀ NỘI","Gồm quận Long Biên và huyện Đông Anh","Ông Phạm Quang Thanh","296106","69.77"
"HÀ NỘI","Gồm quận Long Biên và huyện Đông Anh","Ông Nguyễn Anh Trí","281218","66.26"
"HÀ NỘI","Gồm quận Long Biên và huyện Đông Anh","Bà Phạm Thị Thu Thủy","193894","45.68"
"HÀ NỘI","Gồm quận Long Biên và huyện Đông Anh","Bà Nguyễn Thị Bích Ngọc","170334","40.13"
"HÀ NỘI","Gồm các huyện: Sóc Sơn và Mê Linh","Ông Nguyễn Văn Thắng","277017","72.56"
"HÀ NỘI","Gồm các huyện: Sóc Sơn và Mê Linh","Bà Bùi Huyền Mai","233934","61.27"
"HÀ NỘI","Gồm các huyện: Sóc Sơn và Mê Linh","Ông Đặng Minh Châu (Hòa thượng Thích Bảo Nghiêm)","231545","60.65"
"HÀ NỘI","Gồm các huyện: Sóc Sơn và Mê Linh","Bà Trần Thị Thanh Nhàn","212293","55.61"
"HÀ NỘI","Gồm các huyện: Sóc Sơn và Mê Linh","Bà Nguyễn Thị Bích","119960","31.42"
"HỒ CHÍ MINH","Gồm quận 1, quận 3 và quận 4","Ông Trần Đại Quang","293079","75.08"
"HỒ CHÍ MINH","Gồm quận 1, quận 3 và quận 4","Ông Ngô Tuấn Nghĩa","236576","60.60"
"HỒ CHÍ MINH","Gồm quận 1, quận 3 và quận 4","Ông Lâm Đình Thắng","233880","59.91"
"HỒ CHÍ MINH","Gồm quận 1, quận 3 và quận 4","Ông Trần Đông A","220208","56.41"
"HỒ CHÍ MINH","Gồm quận 1, quận 3 và quận 4","Bà Đặng Thị Thúy Dung","162324","41.58"
"HỒ CHÍ MINH","Gồm quận 7 và các huyện: Nhà Bè, Cần Giờ","Ông Nguyễn Minh Hoàng","231470","66.97"
"HỒ CHÍ MINH","Gồm quận 7 và các huyện: Nhà Bè, Cần Giờ","Bà Tô Thị Bích Châu","220409","63.77"
"HỒ CHÍ MINH","Gồm quận 7 và các huyện: Nhà Bè, Cần Giờ","Ông Dương Ngọc Hải","207196","59.95"
"HỒ CHÍ MINH","Gồm quận 7 và các huyện: Nhà Bè, Cần Giờ","Ông Đoàn Văn Thanh","186100","53.84"
"HỒ CHÍ MINH","Gồm quận 7 và các huyện: Nhà Bè, Cần Giờ","Ông Trương Quốc Hưng","168921","48.87"
"HỒ CHÍ MINH","Gồm quận 6 và quận Bình Tân","Ông Nguyễn Phước Lộc","344333","63.45"
"HỒ CHÍ MINH","Gồm quận 6 và quận Bình Tân","Bà Phan Thị Bình Thuận","332509","61.27"
"HỒ CHÍ MINH","Gồm quận 6 và quận Bình Tân","Ông Lâm Quang Đại","327601","60.36"
"HỒ CHÍ MINH","Gồm quận 6 và quận Bình Tân","Ông Diệp Dũng","304446","56.10"
"HỒ CHÍ MINH","Gồm quận 6 và quận Bình Tân","Bà Triệu Lệ Khánh","296816","54.69"
"HỒ CHÍ MINH","Gồm quận 5, quận 10 và quận 11","Ông Lê Minh Trí","331790","70.48"
"HỒ CHÍ MINH","Gồm quận 5, quận 10 và quận 11","Ông Huỳnh Thành Đạt","324343","68.90"
"HỒ CHÍ MINH","Gồm quận 5, quận 10 và quận 11","Ông Phạm Phú Quốc","253936","53.94"
"HỒ CHÍ MINH","Gồm quận 5, quận 10 và quận 11","Ông Lâm Thiếu Quân","251626","53.45"
"HỒ CHÍ MINH","Gồm quận 5, quận 10 và quận 11","Bà Vương Thanh Liễu","217947","46.30"
"HỒ CHÍ MINH","Gồm quận Tân Bình và quận Tân Phú","Bà Trần Kim Yến","321816","67.42"
"HỒ CHÍ MINH","Gồm quận Tân Bình và quận Tân Phú","Ông Nguyễn Văn Chương","284039","59.50"
"HỒ CHÍ MINH","Gồm quận Tân Bình và quận Tân Phú","Ông Nguyễn Đức Sáu","273927","57.39"
"HỒ CHÍ MINH","Gồm quận Tân Bình và quận Tân Phú","Ông Đỗ Văn Đương","269884","56.54"
"HỒ CHÍ MINH","Gồm quận Tân Bình và quận Tân Phú","Ông Trần Quang Vinh (Linh mục Trần Quang Vinh)","257393","53.92"
"HỒ CHÍ MINH","Gồm quận Bình Thạnh và quận Phú Nhuận","Ông Trương Trọng Nghĩa","281212","67.89"
"HỒ CHÍ MINH","Gồm quận Bình Thạnh và quận Phú Nhuận","Ông Nguyễn Việt Dũng","268931","64.93"
"HỒ CHÍ MINH","Gồm quận Bình Thạnh và quận Phú Nhuận","Bà Phạm Khánh Phong Lan","262319","63.33"
"HỒ CHÍ MINH","Gồm quận Bình Thạnh và quận Phú Nhuận","Ông Nguyễn Phú Bình","218257","52.69"
"HỒ CHÍ MINH","Gồm quận Bình Thạnh và quận Phú Nhuận","Ông Vũ Văn Chiến","187661","45.31"
"HỒ CHÍ MINH","Gồm quận 2, quận 9 và quận Thủ Đức","Bà Nguyễn Thị Quyết Tâm","462220","76.37"
"HỒ CHÍ MINH","Gồm quận 2, quận 9 và quận Thủ Đức","Ông Phan Nguyễn Như Khuê","399409","66"
"HỒ CHÍ MINH","Gồm quận 2, quận 9 và quận Thủ Đức","Bà Trịnh Ngọc Thúy","328498","54.28"
"HỒ CHÍ MINH","Gồm quận 2, quận 9 và quận Thủ Đức","Ông Trần Việt Anh","310391","51.29"
"HỒ CHÍ MINH","Gồm quận 2, quận 9 và quận Thủ Đức","Ông Lương Phan Cừ","278941","46.09"
"HỒ CHÍ MINH","Gồm quận 12 và quận Gò Vấp","Bà Nguyễn Thị Yến (Ni sư Thích nữ Tín Liên)","457431","65.75"
"HỒ CHÍ MINH","Gồm quận 12 và quận Gò Vấp","Ông Nguyễn Minh Đức","432839","62.21"
"HỒ CHÍ MINH","Gồm quận 12 và quận Gò Vấp","Bà Trần Thị Diệu Thúy","411179","59.10"
"HỒ CHÍ MINH","Gồm quận 12 và quận Gò Vấp","Ông Phan Minh Tân","399464","57.42"
"HỒ CHÍ MINH","Gồm quận 12 và quận Gò Vấp","Ông Phạm Lương Sơn","342244","49.19"
"HỒ CHÍ MINH","Gồm các huyện: Củ Chi và Hóc Môn","Ông Đinh La Thăng","509447","85.02"
"HỒ CHÍ MINH","Gồm các huyện: Củ Chi và Hóc Môn","Bà Văn Thị Bạch Tuyết","363106","60.60"
"HỒ CHÍ MINH","Gồm các huyện: Củ Chi và Hóc Môn","Ông Trần Anh Tuấn","318090","53.09"
"HỒ CHÍ MINH","Gồm các huyện: Củ Chi và Hóc Môn","Bà Ngô Thị Phương Lan","310378","51.80"
"HỒ CHÍ MINH","Gồm các huyện: Củ Chi và Hóc Môn","Ông Bùi Quang Huy","275132","45.92"
"HỒ CHÍ MINH","Gồm quận 8 và huyện Bình Chánh","Ông Trần Hoàng Ngân","434709","71.77"
"HỒ CHÍ MINH","Gồm quận 8 và huyện Bình Chánh","Ông Phan Thanh Bình","388691","64.17"
"HỒ CHÍ MINH","Gồm quận 8 và huyện Bình Chánh","Ông Ngô Minh Châu","382667","63.18"
"HỒ CHÍ MINH","Gồm quận 8 và huyện Bình Chánh","Bà Nguyễn Thị Hồng Chương","331883","54.80"
"HỒ CHÍ MINH","Gồm quận 8 và huyện Bình Chánh","Bà Lã Thị Lan","250326","41.33"
"HẢI PHÒNG","Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vỹ","Ông Nguyễn Trọng Bình","443426","85.85"
"HẢI PHÒNG","Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vỹ","Ông Nghiêm Vũ Khải","399221","77.29"
"HẢI PHÒNG","Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vỹ","Ông Bùi Thanh Tùng","397388","76.94"
"HẢI PHÒNG","Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vỹ","Bà Phạm Thị Thúy Hải","164798","31.91"
"HẢI PHÒNG","Gồm các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vỹ","Bà Phạm Thị Hương Xuân","131516","25.46"
"HẢI PHÒNG","Gồm các quận: Ngô Quyền, Hải An, Dương Kinh và các huyện: An Dương, Kiến Thụy","Bà Nguyễn Thị Nghĩa","390499","82.90"
"HẢI PHÒNG","Gồm các quận: Ngô Quyền, Hải An, Dương Kinh và các huyện: An Dương, Kiến Thụy","Ông Nguyễn Hữu Thuận (Thuận Hữu)","376211","79.86"
"HẢI PHÒNG","Gồm các quận: Ngô Quyền, Hải An, Dương Kinh và các huyện: An Dương, Kiến Thụy","Ông Đỗ Văn Bình","354634","75.28"
"HẢI PHÒNG","Gồm các quận: Ngô Quyền, Hải An, Dương Kinh và các huyện: An Dương, Kiến Thụy","Bà Nguyễn Thị Huệ Chi","148652","31.56"
"HẢI PHÒNG","Gồm các quận: Ngô Quyền, Hải An, Dương Kinh và các huyện: An Dương, Kiến Thụy","Ông Nguyễn Đình Vinh","134271","28.50"
"HẢI PHÒNG","Gồm các quận: Kiến An, Đồ Sơn và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo","Ông Nguyễn Xuân Phúc","476357","99.48"
"HẢI PHÒNG","Gồm các quận: Kiến An, Đồ Sơn và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo","Ông Mai Hồng Hải","372330","77.75"
"HẢI PHÒNG","Gồm các quận: Kiến An, Đồ Sơn và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo","Ông Lã Thanh Tân","332075","69.35"
"HẢI PHÒNG","Gồm các quận: Kiến An, Đồ Sơn và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo","Bà Trần Thu Nga","138555","28.93"
"HẢI PHÒNG","Gồm các quận: Kiến An, Đồ Sơn và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo","Ông Trần Thế Tiến","104683","21.86"
"ĐÀ NẴNG","Gồm các quận: Hải Châu, Thanh Khê và Cẩm Lệ","Ông Đinh Thế Huynh","292667","85.71"
"ĐÀ NẴNG","Gồm các quận: Hải Châu, Thanh Khê và Cẩm Lệ","Ông Nguyễn Bá Sơn","238275","69.78"
"ĐÀ NẴNG","Gồm các quận: Hải Châu, Thanh Khê và Cẩm Lệ","Bà Võ Thị Như Hoa","213981","62.67"
"ĐÀ NẴNG","Gồm các quận: Hải Châu, Thanh Khê và Cẩm Lệ","Bà Nguyễn Thị Thanh Bình","141548","41.45"
"ĐÀ NẴNG","Gồm các quận: Hải Châu, Thanh Khê và Cẩm Lệ","Bà Lê Thị Minh Thảo","127415","37.31"
"ĐÀ NẴNG","Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Liên Chiểu và các huyện: Hoàng Sa, Hòa Vang","Bà Nguyễn Thị Kim Thúy","253143","72.36"
"ĐÀ NẴNG","Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Liên Chiểu và các huyện: Hoàng Sa, Hòa Vang","Ông Nguyễn Thanh Quang","247836","70.84"
"ĐÀ NẴNG","Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Liên Chiểu và các huyện: Hoàng Sa, Hòa Vang","Bà Ngô Thị Kim Yến","231082","66.05"
"ĐÀ NẴNG","Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Liên Chiểu và các huyện: Hoàng Sa, Hòa Vang","Bà Kiều Thị Thanh Trang","155237","44.37"
"ĐÀ NẴNG","Gồm các quận: Sơn Trà, Ngũ Hành Sơn, Liên Chiểu và các huyện: Hoàng Sa, Hòa Vang","Ông Nguyễn Hoàng Giang","151953","43.43"
"CẦN THƠ","Gồm các quận: Ninh Kiều, Cái Răng và huyện Phong Điền","Bà Nguyễn Thị Kim Ngân","308683","91.46"
"CẦN THƠ","Gồm các quận: Ninh Kiều, Cái Răng và huyện Phong Điền","Ông Nguyễn Thanh Phương","212128","62.85"
"CẦN THƠ","Gồm các quận: Ninh Kiều, Cái Răng và huyện Phong Điền","Ông Nguyễn Thanh Xuân","205850","60.99"
"CẦN THƠ","Gồm các quận: Ninh Kiều, Cái Răng và huyện Phong Điền","Ông Đào Như (Hòa thượng Đào Như (Chóp))","143916","42.64"
"CẦN THƠ","Gồm các quận: Ninh Kiều, Cái Răng và huyện Phong Điền","Bà Đỗ Thị Tuyết Nhung","132161","39.16"
"CẦN THƠ","Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai","Ông Trần Quốc Trung","216802","74.35"
"CẦN THƠ","Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai","Ông Ngô Trung Quân","143153","49.09"
"CẦN THƠ","Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai","Ông Nguyễn Văn Quyền","137393","47.12"
"CẦN THƠ","Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai","Bà Đào Thị Sa Ron","82337","28.24"
"CẦN THƠ","Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ","Ông Trần Thanh Mẫn","253115","76.24"
"CẦN THƠ","Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ","Bà Trần Thị Vĩnh Nghi","162271","48.88"
"CẦN THƠ","Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ","Ông Cao Minh Chu","125288","37.74"
"CẦN THƠ","Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ","Bà Nguyễn Thúy Kiều Tiên","114261","34.42"
"CẦN THƠ","Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai","Ông Nguyễn Văn Quyền","160819","55.11"
"CẦN THƠ","Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai","Ông Ngô Trung Quân","75797","25.98"
"CẦN THƠ","Gồm các quận: Bình Thủy, Ô Môn và huyện Thới Lai","Bà Đào Thị Sa Ron","55187","18.91"
"CẦN THƠ","Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ","Bà Trần Thị Vĩnh Nghi","178655","53.84"
"CẦN THƠ","Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ","Ông Cao Minh Chu","99918","30.11"
"CẦN THƠ","Gồm quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ","Bà Nguyễn Thúy Kiều Tiên","53228","16.04"
"AN GIANG","Gồm thành phố Long Xuyên và huyện Thoại Sơn","Bà Võ Thị Ánh Xuân","291718","81.46"
"AN GIANG","Gồm thành phố Long Xuyên và huyện Thoại Sơn","Ông Nguyễn Mai Bộ","252435","70.49"
"AN GIANG","Gồm thành phố Long Xuyên và huyện Thoại Sơn","Bà Lê Lâm Thanh","92503","25.83"
"AN GIANG","Gồm thành phố Long Xuyên và huyện Thoại Sơn","Bà Bùi Thị Dung","74064","20.68"
"AN GIANG","Gồm các huyện: Châu Phú và Châu Thành","Bà Mai Thị Ánh Tuyết","218388","69.35"
"AN GIANG","Gồm các huyện: Châu Phú và Châu Thành","Ông Nguyễn Lân Hiếu","200353","63.62"
"AN GIANG","Gồm các huyện: Châu Phú và Châu Thành","Ông Cao Thanh Sơn","109357","34.72"
"AN GIANG","Gồm các huyện: Châu Phú và Châu Thành","Ông Võ Minh Hải","95283","30.26"
"AN GIANG","Gồm các huyện: Chợ Mới và Phú Tân","Ông Nguyễn Văn Giàu","349752","77.26"
"AN GIANG","Gồm các huyện: Chợ Mới và Phú Tân","Ông Nguyễn Sĩ Lâm","289901","64.04"
"AN GIANG","Gồm các huyện: Chợ Mới và Phú Tân","Ông Hồ Thanh Bình","242152","53.49"
"AN GIANG","Gồm các huyện: Chợ Mới và Phú Tân","Bà Nguyễn Thị Tuyết Minh","224322","49.55"
"AN GIANG","Gồm các huyện: Chợ Mới và Phú Tân","Bà Nguyễn Thanh Kiều","223407","49.35"
"AN GIANG","Gồm thành phố Châu Đốc, thị xã Tân Châu và các huyện: An Phú, Tịnh Biên, Tri Tôn","Ông Phan Huỳnh Sơn","428306","74.40"
"AN GIANG","Gồm thành phố Châu Đốc, thị xã Tân Châu và các huyện: An Phú, Tịnh Biên, Tri Tôn","Ông Đôn Tuấn Phong","413080","71.75"
"AN GIANG","Gồm thành phố Châu Đốc, thị xã Tân Châu và các huyện: An Phú, Tịnh Biên, Tri Tôn","Ông Chau Chắc","331309","57.55"
"AN GIANG","Gồm thành phố Châu Đốc, thị xã Tân Châu và các huyện: An Phú, Tịnh Biên, Tri Tôn","Ông Phạm Vĩnh Thăng","291658","50.66"
"AN GIANG","Gồm thành phố Châu Đốc, thị xã Tân Châu và các huyện: An Phú, Tịnh Biên, Tri Tôn","Ông Phan Văn Ninh","237238","41.21"
